,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.90309334
1,NN1,0,balanced_accuracy,0.91215307
2,NN1,0,precision,0.6524362
3,NN1,0,sensitivity,0.92591375
4,NN1,0,f1_score,0.7654825
5,NN1,0,mcc,0.7239048
6,NN2,0,simple_accuracy,0.8907199
7,NN2,0,balanced_accuracy,0.9075678
8,NN2,0,precision,0.619589
9,NN2,0,sensitivity,0.93315774
10,NN2,0,f1_score,0.7447116
11,NN2,0,mcc,0.70179695
12,NN3,0,simple_accuracy,0.9012936
13,NN3,0,balanced_accuracy,0.91668886
14,NN3,0,precision,0.6447606
15,NN3,0,sensitivity,0.9400724
16,NN3,0,f1_score,0.7649029
17,NN3,0,mcc,0.7252375
18,NN4,0,simple_accuracy,0.9
19,NN4,0,balanced_accuracy,0.913948
20,NN4,0,precision,0.6423886
21,NN4,0,sensitivity,0.93513334
22,NN4,0,f1_score,0.7615983
23,NN4,0,mcc,0.7208483
24,NN5,0,simple_accuracy,0.88987625
25,NN5,0,balanced_accuracy,0.921177
26,NN5,0,precision,0.6122789
27,NN5,0,sensitivity,0.9687191
28,NN5,0,f1_score,0.7503188
29,NN5,0,mcc,0.7138544
30,NN6,0,simple_accuracy,0.9021935
31,NN6,0,balanced_accuracy,0.9116105
32,NN6,0,precision,0.6500231
33,NN6,0,sensitivity,0.92591375
34,NN6,0,f1_score,0.7638191
35,NN6,0,mcc,0.7220425
