,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.8747785
1,NN1,0,balanced_accuracy,0.8829088
2,NN1,0,precision,0.5875486
3,NN1,0,sensitivity,0.89525694
4,NN1,0,f1_score,0.70947534
5,NN1,0,mcc,0.6568382
6,NN2,0,simple_accuracy,0.866256
7,NN2,0,balanced_accuracy,0.87286603
8,NN2,0,precision,0.57001597
9,NN2,0,sensitivity,0.8829051
10,NN2,0,f1_score,0.69276994
11,NN2,0,mcc,0.63624024
12,NN3,0,simple_accuracy,0.17078727
13,NN3,0,balanced_accuracy,0.5
14,NN3,0,precision,0.17078727
15,NN3,0,sensitivity,1.0
16,NN3,0,f1_score,0.29174775
17,NN3,0,mcc,0.0
18,NN4,0,simple_accuracy,0.8292127
19,NN4,0,balanced_accuracy,0.5
20,NN4,0,precision,0.0
21,NN4,0,sensitivity,0.0
22,NN4,0,f1_score,0.0
23,NN4,0,mcc,0.0
24,NN5,0,simple_accuracy,0.17078727
25,NN5,0,balanced_accuracy,0.5
26,NN5,0,precision,0.17078727
27,NN5,0,sensitivity,1.0
28,NN5,0,f1_score,0.29174775
29,NN5,0,mcc,0.0
30,NN6,0,simple_accuracy,0.17078727
31,NN6,0,balanced_accuracy,0.5
32,NN6,0,precision,0.17078727
33,NN6,0,sensitivity,1.0
34,NN6,0,f1_score,0.29174775
35,NN6,0,mcc,0.0
