,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.928023
1,NN1,0,balanced_accuracy,0.93953365
2,NN1,0,precision,0.71661115
3,NN1,0,sensitivity,0.9570158
4,NN1,0,f1_score,0.8195473
5,NN1,0,mcc,0.78840935
6,NN2,0,simple_accuracy,0.928698
7,NN2,0,balanced_accuracy,0.94150996
8,NN2,0,precision,0.71744746
9,NN2,0,sensitivity,0.9609684
10,NN2,0,f1_score,0.8215417
11,NN2,0,mcc,0.7911309
12,NN3,0,simple_accuracy,0.92388827
13,NN3,0,balanced_accuracy,0.93723667
14,NN3,0,precision,0.7037037
15,NN3,0,sensitivity,0.9575099
16,NN3,0,f1_score,0.8112181
17,NN3,0,mcc,0.77916825
18,NN4,0,simple_accuracy,0.9232976
19,NN4,0,balanced_accuracy,0.93727285
20,NN4,0,precision,0.7016275
21,NN4,0,sensitivity,0.958498
22,NN4,0,f1_score,0.81019
23,NN4,0,mcc,0.7781517
24,NN5,0,simple_accuracy,0.89747703
25,NN5,0,balanced_accuracy,0.914838
26,NN5,0,precision,0.6347884
27,NN5,0,sensitivity,0.94120556
28,NN5,0,f1_score,0.75820893
29,NN5,0,mcc,0.7179921
30,NN6,0,simple_accuracy,0.9318201
31,NN6,0,balanced_accuracy,0.9445694
32,NN6,0,precision,0.7263589
33,NN6,0,sensitivity,0.9639328
34,NN6,0,f1_score,0.8284501
35,NN6,0,mcc,0.79921955
