,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.92903554
1,NN1,0,balanced_accuracy,0.94210577
2,NN1,0,precision,0.7181852
3,NN1,0,sensitivity,0.9619565
4,NN1,0,f1_score,0.8223865
5,NN1,0,mcc,0.79219854
6,NN2,0,simple_accuracy,0.9478525
7,NN2,0,balanced_accuracy,0.9620829
8,NN2,0,precision,0.77290374
9,NN2,0,sensitivity,0.9836956
10,NN2,0,f1_score,0.8656522
11,NN2,0,mcc,0.84321
12,NN3,0,simple_accuracy,0.9278542
13,NN3,0,balanced_accuracy,0.9376665
14,NN3,0,precision,0.7175288
15,NN3,0,sensitivity,0.9525692
16,NN3,0,f1_score,0.8185099
17,NN3,0,mcc,0.7867063
18,NN4,0,simple_accuracy,0.9281073
19,NN4,0,balanced_accuracy,0.93919224
20,NN4,0,precision,0.7171979
21,NN4,0,sensitivity,0.9560277
22,NN4,0,f1_score,0.819568
23,NN4,0,mcc,0.7883111
24,NN5,0,simple_accuracy,0.9294574
25,NN5,0,balanced_accuracy,0.94902945
26,NN5,0,precision,0.71413124
27,NN5,0,sensitivity,0.97875494
28,NN5,0,f1_score,0.8257607
29,NN5,0,mcc,0.7981714
30,NN6,0,simple_accuracy,0.93747365
31,NN6,0,balanced_accuracy,0.9415053
32,NN6,0,precision,0.75127304
33,NN6,0,sensitivity,0.94762844
34,NN6,0,f1_score,0.83810353
35,NN6,0,mcc,0.8082793
