,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.91595644
1,NN1,0,balanced_accuracy,0.9214692
2,NN1,0,precision,0.6878655
3,NN1,0,sensitivity,0.9298419
4,NN1,0,f1_score,0.7907563
5,NN1,0,mcc,0.7527924
6,NN2,0,simple_accuracy,0.9095435
7,NN2,0,balanced_accuracy,0.9225062
8,NN2,0,precision,0.6663173
9,NN2,0,sensitivity,0.9421937
10,NN2,0,f1_score,0.7805976
11,NN2,0,mcc,0.7429992
12,NN3,0,simple_accuracy,0.91148424
13,NN3,0,balanced_accuracy,0.92701113
14,NN3,0,precision,0.6696833
15,NN3,0,sensitivity,0.9505929
16,NN3,0,f1_score,0.7857872
17,NN3,0,mcc,0.74994135
18,NN4,0,simple_accuracy,0.9190786
19,NN4,0,balanced_accuracy,0.93100184
20,NN4,0,precision,0.6917537
21,NN4,0,sensitivity,0.9491107
22,NN4,0,f1_score,0.80024993
23,NN4,0,mcc,0.7658391
24,NN5,0,simple_accuracy,0.9228757
25,NN5,0,balanced_accuracy,0.9399608
26,NN5,0,precision,0.6982143
27,NN5,0,sensitivity,0.96590906
28,NN5,0,f1_score,0.81053066
29,NN5,0,mcc,0.77952915
30,NN6,0,simple_accuracy,0.91291875
31,NN6,0,balanced_accuracy,0.9294453
32,NN6,0,precision,0.67270195
33,NN6,0,sensitivity,0.95454544
34,NN6,0,f1_score,0.7892157
35,NN6,0,mcc,0.7543057
