,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.8914859
1,NN1,0,balanced_accuracy,0.9053409
2,NN1,0,precision,0.62250996
3,NN1,0,sensitivity,0.9263834
4,NN1,0,f1_score,0.7446386
5,NN1,0,mcc,0.70070803
6,NN2,0,simple_accuracy,0.87823814
7,NN2,0,balanced_accuracy,0.8948027
8,NN2,0,precision,0.5924276
9,NN2,0,sensitivity,0.9199605
10,NN2,0,f1_score,0.7207277
11,NN2,0,mcc,0.67312294
12,NN3,0,simple_accuracy,0.8301409
13,NN3,0,balanced_accuracy,0.5044828
14,NN3,0,precision,0.6896552
15,NN3,0,sensitivity,0.009881423
16,NN3,0,f1_score,0.019483682
17,NN3,0,mcc,0.06828882
18,NN4,0,simple_accuracy,0.83005655
19,NN4,0,balanced_accuracy,0.50266653
20,NN4,0,precision,0.9166667
21,NN4,0,sensitivity,0.0054347827
22,NN4,0,f1_score,0.010805501
23,NN4,0,mcc,0.06310169
24,NN5,0,simple_accuracy,0.17078727
25,NN5,0,balanced_accuracy,0.5
26,NN5,0,precision,0.17078727
27,NN5,0,sensitivity,1.0
28,NN5,0,f1_score,0.29174775
29,NN5,0,mcc,0.0
30,NN6,0,simple_accuracy,0.17078727
31,NN6,0,balanced_accuracy,0.5
32,NN6,0,precision,0.17078727
33,NN6,0,sensitivity,1.0
34,NN6,0,f1_score,0.29174775
35,NN6,0,mcc,0.0
