,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.89055777
1,NN1,0,balanced_accuracy,0.7056835
2,NN1,0,precision,0.86606246
3,NN1,0,sensitivity,0.4249012
4,NN1,0,f1_score,0.57010275
5,NN1,0,mcc,0.5587219
6,NN2,0,simple_accuracy,0.89638007
7,NN2,0,balanced_accuracy,0.7301829
8,NN2,0,precision,0.8497364
9,NN2,0,sensitivity,0.4777668
10,NN2,0,f1_score,0.6116382
11,NN2,0,mcc,0.58801997
12,NN3,0,simple_accuracy,0.8292127
13,NN3,0,balanced_accuracy,0.5
14,NN3,0,precision,0.0
15,NN3,0,sensitivity,0.0
16,NN3,0,f1_score,0.0
17,NN3,0,mcc,0.0
18,NN4,0,simple_accuracy,0.8292127
19,NN4,0,balanced_accuracy,0.5
20,NN4,0,precision,0.0
21,NN4,0,sensitivity,0.0
22,NN4,0,f1_score,0.0
23,NN4,0,mcc,0.0
24,NN5,0,simple_accuracy,0.8292127
25,NN5,0,balanced_accuracy,0.5
26,NN5,0,precision,0.0
27,NN5,0,sensitivity,0.0
28,NN5,0,f1_score,0.0
29,NN5,0,mcc,0.0
30,NN6,0,simple_accuracy,0.8292127
31,NN6,0,balanced_accuracy,0.5
32,NN6,0,precision,0.0
33,NN6,0,sensitivity,0.0
34,NN6,0,f1_score,0.0
35,NN6,0,mcc,0.0
