,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.8998397
1,NN1,0,balanced_accuracy,0.8999818
2,NN1,0,precision,0.64909154
3,NN1,0,sensitivity,0.9001976
4,NN1,0,f1_score,0.7542952
5,NN1,0,mcc,0.7080835
6,NN2,0,simple_accuracy,0.8964644
7,NN2,0,balanced_accuracy,0.9057928
8,NN2,0,precision,0.63614625
9,NN2,0,sensitivity,0.9199605
10,NN2,0,f1_score,0.7521713
11,NN2,0,mcc,0.70820487
12,NN3,0,simple_accuracy,0.88659185
13,NN3,0,balanced_accuracy,0.90062445
14,NN3,0,precision,0.61140233
15,NN3,0,sensitivity,0.92193675
16,NN3,0,f1_score,0.7352246
17,NN3,0,mcc,0.68956345
18,NN4,0,simple_accuracy,0.9061683
19,NN4,0,balanced_accuracy,0.91811717
20,NN4,0,precision,0.6584434
21,NN4,0,sensitivity,0.9362648
22,NN4,0,f1_score,0.77315384
23,NN4,0,mcc,0.7338875
24,NN5,0,simple_accuracy,0.89292043
25,NN5,0,balanced_accuracy,0.91581744
26,NN5,0,precision,0.6220498
27,NN5,0,sensitivity,0.9505929
28,NN5,0,f1_score,0.75200313
29,NN5,0,mcc,0.71261674
30,NN6,0,simple_accuracy,0.9192473
31,NN6,0,balanced_accuracy,0.9436576
32,NN6,0,precision,0.6837754
33,NN6,0,sensitivity,0.98073125
34,NN6,0,f1_score,0.80576414
35,NN6,0,mcc,0.7764386
