,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.6974939
1,NN1,0,balanced_accuracy,0.7212821
2,NN1,0,precision,0.33131617
3,NN1,0,sensitivity,0.75741106
4,NN1,0,f1_score,0.4609833
5,NN1,0,mcc,0.34139207
6,NN2,0,simple_accuracy,0.657666
7,NN2,0,balanced_accuracy,0.69059736
8,NN2,0,precision,0.29795268
9,NN2,0,sensitivity,0.7406126
10,NN2,0,f1_score,0.42494684
11,NN2,0,mcc,0.29023063
12,NN3,0,simple_accuracy,0.65091556
13,NN3,0,balanced_accuracy,0.69005775
14,NN3,0,precision,0.2947348
15,NN3,0,sensitivity,0.74950594
16,NN3,0,f1_score,0.42309302
17,NN3,0,mcc,0.28859392
18,NN4,0,simple_accuracy,0.629314
19,NN4,0,balanced_accuracy,0.67369777
20,NN4,0,precision,0.27938163
21,NN4,0,sensitivity,0.74110675
22,NN4,0,f1_score,0.40578926
23,NN4,0,mcc,0.26262662
24,NN5,0,simple_accuracy,0.629314
25,NN5,0,balanced_accuracy,0.67154
26,NN5,0,precision,0.2784739
27,NN5,0,sensitivity,0.73567194
28,NN5,0,f1_score,0.40401575
29,NN5,0,mcc,0.2594573
30,NN6,0,simple_accuracy,0.64939666
31,NN6,0,balanced_accuracy,0.6812957
32,NN6,0,precision,0.29046214
33,NN6,0,sensitivity,0.72974306
34,NN6,0,f1_score,0.4155296
35,NN6,0,mcc,0.27569044
